,title,review,date,yes,no
392,Google Home for Xmas,"We were so happy to see our grandkids enjoy playing with this tonight.We introduced it to the family by asking it to say ""Grace"" for our Xmas Eve meal, and so it did.  The rest of the meal they intermittenently asked various questions , testing it's intelligence and capabilities. They will be surprised when they come over tomorrow to open their gifts  and realize they too have a ""Google Home""  just like Grampa's .",12/25/2016,(0),(0)
393,Google Home: it's not Alexa... yet,"Google Home is highly responsive and has the promise to be an extremely entertaining and valuable home accessory.   However because it is so new, it lacks the depth of Amazon Echo's connections, networks and functionality.  On the plus side the Google Home has been deeply discounted lately making it compelling to try.  I'm sure with Google's depth, it will eventually be as complete if not more complete than Amazon's offering.",12/7/2016,(0),(0)
394,"If nothing else, great speaker!","This little gadget is an awesome addition to your home.  If you use it for nothing more than playing music it's a good value at $130, but it is so much more!  ""OK Google, tell me about my day"" gives you a complete rundown of everything you need to know.  It's like having everything right at your fingertips.  It's even motivated me to buy home-control devices!",2/2/2017,(0),(0)
395,Needs improvements. Buy the Echo.,Needs improvement. $129 is too expensive for something that cannot compare to Amazon,12/12/2016,(2),(10)
396,Google Home,"I have had google home for about one month. It has been fun. It will play music, tell jokes, make my shopping list, and answer most of my general knowledge questions.
My grandson likes the quiz games.  I choose google over Alexa because google gave me better, more complete answers to my questions. However, If you want a good variety of free music, Alexa is better.",1/19/2017,(0),(0)
397,"The ""8-ball"" of the 21st century","Got this for my internet-deprived 80 yo dad.  He loves it. Best Christmas present at the party, entertaining many. I do have privacy concerns, but it truly is an amazing little gadget with substantial untapped potential for home automation. Also relatively inexpensive compared to Echo (and better looking IMHO). It seems to work much better than the Google voice app on my cell phone too.",12/29/2016,(0),(0)
398,OK but not great,"Bought this for my father so he could avoid using any sort of computer. He's had a few strokes and most of his memories (movies, music) go back to the 40s and 50s. Ironically, I received one from my stepchildren.  There are many questions it can't help me with, while using a computer gets many more answers. Hopefully it's learning my habits and will improve.",1/21/2017,(0),(0)
399,Excellent Product and Manufacturing,This is the best intelligent speaker ever built till date. Google does it again with great products as always. This speaker is a work of great beauty and precision. The high and low of the speaker are excellent! Superb sound capacity and flawless design. Echo with Alexa's skill and intelligence and speaker is nowhere near this beauty.,2/3/2017,(0),(0)
400,I returned this a week later!,"Bought and tried out but it is so far behind Amazon Echo, it has a long way to go to catch up. It barely recognizes commands and has only three home smart devices it can connect to and the music library is horrible. Echo blows this out of the water and I just could not see keeping this until it could surpass Echo. Save yourself some money and just go with Amazon. This device is a joke!",12/25/2016,(0),(0)
401,Lots of Fun,"Great Christmas gift for my husband who has everything! Plays music, works with our chromecast, plays games, and so much more. We have had lots of fun with the Google Home. It is also helpful when cooking with ability to set individual timers for different foods while being hands free. You do have to learn the language to speak to it. Once you do that it is breeze to use.",1/4/2017,(0),(0)
402,Not worth it,"O ver $100. 90% of questions are answered with""I'm sorry but I don't know how to answer that yet"".  Mostly used to play Christmas music!",12/20/2016,(1),(4)
403,Better the Amazon Echo - Awesome,"This thing is far better the Amazon Echo. It has more features and does more then just buy stuff.

I use it for music, questions that Amazon Echo can't answer, cutting stuff on like lights and controlling  thermostat.

It also works with Logitech Harmony Elite. The best but expensive remote control with hub.

 And I can hear you from  another room whispering OK Google or Hey Google.",12/10/2016,(0),(0)
404,Mr.,When I got this I needed a smart phone to set it up. I don't have a smart phone. When I ordered it you didn't say anything about needing a smart phone. I was going to take it back when a friend came over and set it up for me.  Now I like it.,3/8/2017,(0),(1)
